Family,Lyapunov L1,Lyapunov L2,Cycler 21,Cycler 11a,Cycler 11b,Cycler 32,Resonant 2to1 Stable,Resonant 2to1 Unstable,Resonant 3to1 Stable,Resonant 3to1 Unstable,Resonant 5to2 Stable,Resonant 5to2 Unstable,Distant Prograde Orbit
Lyapunov L1,NaN,9.361654,4.584689,4.021699,4.285685,6.249619,NaN,5.758028,176.913712,85.513046,59.232616,6.796906,5.694713
Lyapunov L2,9.361654,NaN,6.927792,8.168158,8.477985,5.549820,NaN,18.378786,243.634628,180.766785,105.320282,16.006033,6.263425
Cycler 21,4.584689,6.927792,NaN,2.859896,2.166682,3.256938,327.840820,6.343152,186.822922,74.719826,66.032608,10.505640,4.576391
Cycler 11a,4.021699,8.168158,2.859896,NaN,3.484115,3.399773,342.250702,2.131155,178.313919,56.102581,50.916546,10.185881,3.408184
Cycler 11b,4.285685,8.477985,2.166682,3.484115,NaN,3.270223,394.823517,7.653941,186.427353,78.783638,64.368607,9.087850,4.363495
Cycler 32,6.249619,5.549820,3.256938,3.399773,3.270223,NaN,201.075974,7.158373,120.758728,42.761456,66.673645,0.620752,2.699928
Resonant 2to1 Stable,NaN,NaN,327.840820,342.250702,394.823517,201.075974,NaN,339.586792,344.496307,369.806396,213.315887,205.681503,NaN
Resonant 2to1 Unstable,5.758028,18.378786,6.343152,2.131155,7.653941,7.158373,339.586792,NaN,172.358398,54.071033,48.612057,7.787130,10.947701
Resonant 3to1 Stable,176.913712,243.634628,186.822922,178.313919,186.427353,120.758728,344.496307,172.358398,NaN,236.558945,167.902115,122.674667,206.743225
Resonant 3to1 Unstable,85.513046,180.766785,74.719826,56.102581,78.783638,42.761456,369.806396,54.071033,236.558945,NaN,123.701485,35.071293,173.901398
Resonant 5to2 Stable,59.232616,105.320282,66.032608,50.916546,64.368607,66.673645,213.315887,48.612057,167.902115,123.701485,NaN,69.817924,98.506554
Resonant 5to2 Unstable,6.796906,16.006033,10.505640,10.185881,9.087850,0.620752,205.681503,7.787130,122.674667,35.071293,69.817924,NaN,13.764688
Distant Prograde Orbit,5.694713,6.263425,4.576391,3.408184,4.363495,2.699928,NaN,10.947701,206.743225,173.901398,98.506554,13.764688,NaN
