Family,Lyapunov L1,Lyapunov L2,Cycler 21,Cycler 11a,Cycler 11b,Cycler 32,Resonant 2to1 Stable,Resonant 2to1 Unstable,Resonant 3to1 Stable,Resonant 3to1 Unstable,Resonant 5to2 Stable,Resonant 5to2 Unstable,Distant Prograde Orbit
Lyapunov L1,NaN,18.991230,10.744717,11.226529,9.402063,9.688797,NaN,8.490761,26.738031,20.480175,27.015394,10.919582,15.479412
Lyapunov L2,18.991230,NaN,12.377342,12.818909,10.765699,16.196934,NaN,14.728621,26.091127,13.815624,19.385830,18.873188,15.552628
Cycler 21,10.744717,12.377342,NaN,12.908459,8.278407,12.142307,16.358320,19.894131,24.955685,19.603989,25.320271,11.930416,13.007970
Cycler 11a,11.226529,12.818909,12.908459,NaN,10.969207,11.028963,26.475582,11.861601,24.814877,15.952208,24.994257,18.393040,14.378355
Cycler 11b,9.402063,10.765699,8.278407,10.969207,NaN,11.520397,16.286160,16.837650,24.970879,15.691214,25.655190,16.056034,11.605474
Cycler 32,9.688797,16.196934,12.142307,11.028963,11.520397,NaN,15.241171,19.720097,24.224510,20.311119,25.964729,8.645067,10.750690
Resonant 2to1 Stable,NaN,NaN,16.358320,26.475582,16.286160,15.241171,NaN,26.595257,11.817977,14.284970,21.571289,24.027664,NaN
Resonant 2to1 Unstable,8.490761,14.728621,19.894131,11.861601,16.837650,19.720097,26.595257,NaN,24.271072,14.177528,24.809395,10.242735,12.503256
Resonant 3to1 Stable,26.738031,26.091127,24.955685,24.814877,24.970879,24.224510,11.817977,24.271072,NaN,27.130947,23.261942,23.790688,25.354733
Resonant 3to1 Unstable,20.480175,13.815624,19.603989,15.952208,15.691214,20.311119,14.284970,14.177528,27.130947,NaN,22.293427,19.209955,6.493804
Resonant 5to2 Stable,27.015394,19.385830,25.320271,24.994257,25.655190,25.964729,21.571289,24.809395,23.261942,22.293427,NaN,24.875898,20.472586
Resonant 5to2 Unstable,10.919582,18.873188,11.930416,18.393040,16.056034,8.645067,24.027664,10.242735,23.790688,19.209955,24.875898,NaN,14.835104
Distant Prograde Orbit,15.479412,15.552628,13.007970,14.378355,11.605474,10.750690,NaN,12.503256,25.354733,6.493804,20.472586,14.835104,NaN
